key,full_name,category
华为,华为技术有限公司,数码
小米,小米科技有限责任公司,数码
荣耀,荣耀终端有限公司,数码
OPPO,OPPO广东移动通信有限公司,数码
vivo,维沃移动通信有限公司,数码
三星,三星(中国)投资有限公司,数码
苹果,苹果电子产品商贸(北京)有限公司,数码
联想,联想(北京)有限公司,数码
戴尔,戴尔(中国)有限公司,数码
惠普,中国惠普有限公司,数码
华硕,华硕电脑(上海)有限公司,数码
海尔,海尔智家股份有限公司,家电
美的,美的集团股份有限公司,家电
格力,珠海格力电器股份有限公司,家电
海信,海信视像科技股份有限公司,家电
TCL,TCL科技集团股份有限公司,家电
长虹,四川长虹电器股份有限公司,家电
苏泊尔,浙江苏泊尔股份有限公司,家电
九阳,九阳股份有限公司,家电
小熊,小熊电器股份有限公司,家电
老板,杭州老板电器股份有限公司,家电
方太,宁波方太厨具有限公司,家电
小米产业链,北京小米移动软件有限公司,数码
腾讯,深圳市腾讯计算机系统有限公司,互联网
阿里巴巴,阿里巴巴(中国)网络技术有限公司,互联网
百度,百度在线网络技术(北京)有限公司,互联网
字节跳动,北京字节跳动科技有限公司,互联网
网易,网易(杭州)网络有限公司,互联网
京东,北京京东世纪贸易有限公司,互联网
拼多多,上海寻梦信息技术有限公司,互联网
美团,北京三快在线科技有限公司,互联网
饿了么,拉扎斯网络科技(上海)有限公司,互联网
滴滴,北京小桔科技有限公司,互联网
快手,北京达佳互联信息技术有限公司,互联网
哔哩哔哩,上海宽娱数码科技有限公司,互联网
小红书,行吟信息科技(上海)有限公司,互联网
微博,新浪网技术(中国)有限公司,互联网
知乎,北京智者天下科技有限公司,互联网
搜狐,搜狐网技术(中国)有限公司,互联网
360,三六零科技集团有限公司,互联网
金山,北京金山软件有限公司,互联网
迅雷,深圳市迅雷网络技术有限公司,互联网
爱奇艺,北京爱奇艺科技有限公司,互联网
优酷,优酷信息技术(北京)有限公司,互联网
汽车之家,北京车之家信息技术有限公司,互联网
携程,上海携程商务有限公司,互联网
去哪儿,北京趣拿信息技术有限公司,互联网
同程,同程网络科技股份有限公司,互联网
飞猪,浙江飞猪网络技术有限公司,互联网
顺丰,顺丰速运有限公司,物流
中通,中通快递股份有限公司,物流
圆通,圆通速递股份有限公司,物流
韵达,韵达控股股份有限公司,物流
申通,申通快递股份有限公司,物流
德邦,德邦物流股份有限公司,物流
京东物流,北京京邦达贸易有限公司,物流
菜鸟,菜鸟网络科技有限公司,物流
中国邮政,中国邮政速递物流股份有限公司,物流
比亚迪,比亚迪股份有限公司,汽车
理想,理想汽车有限公司,汽车
