key,full_name,category
大疆,深圳市大疆创新科技有限公司,制造
老干妈,贵阳南明老干妈风味食品有限责任公司,食品饮料
王守义,驻马店市王守义十三香调味品集团有限公司,食品饮料
白象,白象食品股份有限公司,食品饮料
今麦郎,今麦郎食品股份有限公司,食品饮料
五谷道场,克明面业股份有限公司,食品饮料
妙可蓝多,妙可蓝多食品科技股份有限公司,食品饮料
飞鹤,黑龙江飞鹤乳业有限公司,食品饮料
君乐宝,君乐宝乳业集团股份有限公司,食品饮料
光明,光明乳业股份有限公司,食品饮料
三元,北京三元食品股份有限公司,食品饮料
养乐多,养乐多(中国)投资有限公司,食品饮料
王老吉,广州王老吉大健康产业有限公司,食品饮料
加多宝,加多宝(中国)饮料有限公司,食品饮料
露露,河北承德露露股份有限公司,食品饮料
六个核桃,河北养元智汇饮品股份有限公司,食品饮料
脉动,乐百氏(广东)食品饮料有限公司,食品饮料
依云,可口可乐装瓶商生产(东莞)有限公司,食品饮料
怡宝,华润怡宝饮料(中国)有限公司,食品饮料
农夫山泉东方树叶,农夫山泉股份有限公司,食品饮料
恰恰小黄鱼,洽洽食品股份有限公司,食品饮料
来伊份零食,上海来伊份股份有限公司,食品饮料
周黑鸭,湖北周黑鸭食品有限公司,餐饮
绝味,绝味食品股份有限公司,餐饮
紫燕,紫燕百味鸡食品股份有限公司,餐饮
沙县小吃,沙县小吃集团餐饮连锁管理有限公司,餐饮
正新,正新食品(福建)有限公司,餐饮
华莱士,福建华莱士食品股份有限公司,餐饮
德克士,顶巧餐饮服务咨询(上海)有限公司,餐饮
必胜客,百胜(中国)投资有限公司,餐饮
呷哺呷哺,呷哺呷哺餐饮管理(中国)控股有限公司,餐饮
西贝,内蒙古西贝餐饮集团有限公司,餐饮
太二,深圳市太二餐饮连锁企业股份有限公司,餐饮
绿茶,绿茶餐厅餐饮管理有限公司,餐饮
外婆家,杭州外婆家餐饮管理有限公司,餐饮
全聚德,中国全聚德(集团)股份有限公司,餐饮
稻香村,北京稻香村食品有限责任公司,食品饮料
嘉华,云南嘉华食品有限公司,食品饮料
鲍师傅,北京鲍才胜餐饮管理有限公司,餐饮
泸溪河,南京泸溪河食品科技有限公司,食品饮料
詹记,武汉詹王食品有限公司,食品饮料
墨茉点心局,长沙墨茉餐饮管理有限公司,餐饮
虎头局,上海万物有灵餐饮管理有限公司,餐饮
相宜本草,上海相宜本草化妆品股份有限公司,美妆
韩束,上海上美化妆品股份有限公司,美妆
谷雨,广州逸仙电子商务有限公司,美妆
橘朵,上海橘宜化妆品有限公司,美妆
酵色,上海橘宜化妆品有限公司,美妆
colorkey,广州卡洛莱化妆品有限公司,美妆
毛戈平,毛戈平化妆品股份有限公司,美妆
资生堂,资生堂(中国)投资有限公司,美妆
雅诗兰黛,雅诗兰黛(上海)商贸有限公司,美妆
兰蔻,欧莱雅(中国)有限公司,美妆
SK-II,宝洁(中国)有限公司,美妆
OLAY,宝洁(中国)有限公司,美妆
