company_name,category,product,official_link,note
顺丰速运有限公司,物流服务,顺丰寄件,https://www.sf-express.com,官方寄件服务
浙江苏泊尔股份有限公司,厨房家电,苏泊尔电饭煲,https://supor.tmall.com,品类代表商品（价格以官方店为准）
浙江苏泊尔股份有限公司,厨房家电,苏泊尔破壁机,https://supor.tmall.com,品类代表商品
海尔智家股份有限公司,家电,海尔冰箱,https://haier.tmall.com,愿景：美好生活
海尔智家股份有限公司,家电,海尔洗衣机,https://haier.tmall.com,品类代表商品
华硕电脑(上海)有限公司,数码,华硕笔记本,https://asus.tmall.com,品类代表商品
中国平安保险(集团)股份有限公司,金融服务,平安健康保险,https://www.pingan.com,金融服务
佛山市海天调味食品股份有限公司,食品饮料,海天酱油,https://haitian.tmall.com,品类代表商品
同程网络科技股份有限公司,生活服务,同程旅行,https://www.ly.com,旅行预订服务
北京趣拿信息技术有限公司,生活服务,去哪儿旅行,https://www.qunar.com,旅行预订服务
浙江古茗科技有限公司,餐饮饮品,古茗奶茶,https://www.gumingnc.com,饮品品牌
泰康人寿保险有限责任公司,金融服务,泰康保险,https://www.taikang.com,金融服务
北京字节跳动科技有限公司,互联网,字节跳动旗下产品,https://www.bytedance.com,示例行
仁和药业股份有限公司,医药健康,仁和药业OTC产品,http://www.renhe.com,品类代表商品
百度在线网络技术(北京)有限公司,互联网,百度搜索,https://www.baidu.com,示例行
三星(中国)投资有限公司,数码,三星手机,https://www.samsung.com/cn,品类代表商品
